language	total speakers
eng	1456000000
cmn	1138000000
hin	609000000
spa	559000000
fra	310000000
ara	274000000
ben	273000000
ptg	264000000
rus	255000000
urd	232000000
idn	199000000
deu	133000000
jpn	123000000
pcm	121000000
arz	102000000
mar	99000000
tel	96000000
tur	90000000
tam	87000000
yue	87000000
vie	86000000
wuu	83000000
tgl	83000000
kor	82000000
pes	79000000
hau	79000000
swa	72000000
jav	68000000
ita	68000000
pnb	67000000
guj	62000000
tha	61000000
kan	59000000
amh	58000000
bho	52000000
pan	52000000
nan	50000000
cjy	48000000
apc	48000000
yor	46000000
